stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
RNRE1,"Renaudières",,47.29948308,-1.50796107,,,0,RNRE,1
RNRE2,"Renaudières",,47.29938883,-1.50808668,,,0,RNRE,1
RNTI1,"Reinetière",,47.25688956,-1.49153714,,,0,RNTI,1
RNTI2,"Reinetière",,47.25698816,-1.49127963,,,0,RNTI,1
ROCA1,"Rocade",,47.16318351,-1.47374654,,,0,ROCA,2
ROCA2,"Rocade",,47.16343126,-1.47442443,,,0,ROCA,1
ROET1,"Rouet",,47.14817242,-1.52152508,,,0,ROET,1
ROET2,"Rouet",,47.14859959,-1.52221594,,,0,ROET,1
RPAR1,"Rond-Point de Paris",,47.23434980,-1.53541116,,,0,RPAR,1
RPAR2,"Rond-Point de Paris",,47.23341589,-1.53640139,,,0,RPAR,1
RPAR3,"Rond-Point de Paris",,47.23404481,-1.53644693,,,0,RPAR,2
RPAR4,"Rond-Point de Paris",,47.23364875,-1.53483148,,,0,RPAR,1
RPBL1,"République",,47.20550390,-1.55486631,,,0,RPBL,2
RPBL2,"République",,47.20560265,-1.55460917,,,0,RPBL,1
RPBL3,"République",,47.20450668,-1.55505811,,,0,RPBL,1
RPBL4,"République",,47.20511334,-1.55576304,,,0,RPBL,1
RPCH1,"Repos de Chasse",,47.21664943,-1.59797854,,,0,RPCH,1
RPCH2,"Repos de Chasse",,47.21668523,-1.59956751,,,0,RPCH,1
RPSI1,"Ripossière",,47.19159708,-1.53456459,,,0,RPSI,1
RPSI2,"Ripossière",,47.19212288,-1.53499900,,,0,RPSI,1
RQIO9,"Trentemoult Roquios",,47.19547324,-1.58241481,,,0,RQIO,1
RREN1,"Rond-Point de Rennes",,47.23244176,-1.56528902,,,0,RREN,1
RREN2,"Rond-Point de Rennes",,47.23262145,-1.56530213,,,0,RREN,1
RREN3,"Rond-Point de Rennes",,47.23313373,-1.56613289,,,0,RREN,1
RREN4,"Rond-Point de Rennes",,47.23303495,-1.56639015,,,0,RREN,1
RROL1,"Romain Rolland",,47.20661689,-1.60953263,,,0,RROL,1
RROL2,"Romain Rolland",,47.20678303,-1.60994139,,,0,RROL,1
RSCO1,"Robert Scott",,47.18690928,-1.45892159,,,0,RSCO,1
